1	49308
2	61365
3	31701
4	21457
5	18461
6	16792
7	15602
8	13370
9	11946
10	9448
11	9708
12	9473
13	8229
14	7144
15	5531
16	5237
17	5506
18	5314
19	4464
20	4584
21	4090
22	4540
23	3826
24	4348
25	4008
26	3142
27	3883
28	3911
29	3869
30	3673
31	2124
32	3694
33	3537
34	3882
35	1353
36	3706
37	3498
38	3555
39	3436
40	3306
41	3118
42	3225
43	3243
44	3347
45	3226
46	3090
47	2951
48	3090
49	3075
50	2476
51	2902
52	1569
53	2936
54	2845
55	2753
56	2941
57	2679
58	2650
59	2585
60	2526
61	2473
62	2433
63	2377
64	2385
65	2217
66	2241
67	1487
68	2177
69	2231
70	2162
71	1836
72	1989
73	1943
74	1951
75	1948
76	1941
77	1834
78	1907
79	1908
80	1792
81	1731
82	1847
83	1773
84	1816
85	1776
86	1818
87	1752
88	1799
89	1695
90	1465
91	1766
92	1743
93	1728
94	1315
95	1656
96	1605
97	1562
98	1616
99	1616
100	1601
101	1610
102	1555
103	1536
104	1189
105	1505
106	1470
107	942
108	1475
109	1324
110	1331
111	1400
112	1380
113	1296
114	1406
115	1355
116	1359
117	1268
118	1358
119	1329
120	1264
121	1337
122	1256
123	1266
124	1275
125	1285
126	1305
127	1130
128	1191
129	1203
130	1134
131	1195
132	1191
133	1151
134	1125
135	1147
136	1150
137	1113
138	1115
139	1131
140	1086
141	904
142	1108
143	1080
144	1075
145	1048
146	1045
147	1061
148	1065
149	1048
150	995
151	1022
152	997
153	994
154	973
155	989
156	926
157	953
158	928
159	911
160	933
161	910
162	777
163	883
164	918
165	909
166	912
167	868
168	867
169	852
170	875
171	822
172	847
173	847
174	865
175	834
176	847
177	846
178	828
179	857
180	836
181	807
182	767
183	775
184	762
185	791
186	750
187	756
188	766
189	792
190	785
191	767
192	770
193	782
194	758
195	766
196	735
197	763
198	754
199	736
200	739
201	762
202	748
203	746
204	703
205	736
206	730
207	723
208	705
209	730
210	709
211	724
212	714
213	699
214	717
215	721
216	704
217	660
218	717
219	585
220	700
221	675
222	690
223	681
224	679
225	666
226	641
227	684
228	679
229	684
230	657
231	663
232	665
233	667
234	670
235	672
236	661
237	654
238	648
239	656
240	648
241	650
242	605
243	633
244	652
245	638
246	640
247	623
248	610
249	617
250	631
251	630
252	621
253	624
254	206
255	614
256	635
257	633
258	612
259	576
260	611
261	610
262	607
263	615
264	600
265	599
266	608
267	600
268	608
269	610
270	600
271	606
272	605
273	596
274	601
275	598
276	590
277	595
278	564
279	584
280	584
281	569
282	575
283	578
284	586
285	283
286	283
287	529
288	566
289	565
290	562
291	549
292	550
293	549
294	543
295	532
296	524
297	513
298	538
299	507
300	533
301	533
302	530
303	499
304	512
305	514
306	516
307	513
308	507
309	494
310	500
311	489
312	499
313	490
314	501
315	489
316	503
317	442
318	495
319	452
320	504
321	482
322	498
323	503
324	483
325	488
326	482
327	490
328	496
329	422
330	493
331	493
332	487
333	489
334	479
335	489
336	485
337	479
338	485
339	454
340	455
341	465
342	472
343	480
344	469
345	389
346	457
347	466
348	461
349	472
350	453
351	469
352	467
353	458
354	457
355	462
356	457
357	457
358	454
359	456
360	458
361	458
362	420
363	436
364	437
365	424
366	422
367	433
368	434
369	418
370	428
371	436
372	428
373	419
374	393
375	410
376	418
377	424
378	418
379	393
380	417
381	408
382	414
383	401
384	414
385	390
386	415
387	403
388	418
389	412
390	409
391	404
392	394
393	397
394	406
395	402
396	399
397	400
398	389
399	400
400	390
401	378
402	399
403	370
404	388
405	381
406	392
407	372
408	370
409	388
410	372
411	385
412	367
413	380
414	381
415	385
416	380
417	377
418	335
419	375
420	379
421	372
422	365
423	367
424	375
425	380
426	367
427	377
428	378
429	367
430	345
431	361
432	340
433	371
434	370
435	370
436	362
